name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
hot shot margarita,6,cocktail classics,2 oz,tequila,1 oz,hot shot tropical fruit liqueur,1 1/2 oz,lemon or lime juice,,,,,,,salt,"rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. shake ingredients with ice and strain into the salt-rimmed glass.",cocktail glass,6
the groupie,6,vodka,3 oz,lemon wedges,1/2 oz,superfine sugar,2 oz,citrus-flavored vodka,ginger beer,,,,,,,muddle lemons and sugar in mixing glass. add vodka and ice and shake. strain into ice-filled old-fashioned glass and top with ginger beer.,old-fashioned glass,6
hot brandy flip,10,cocktail classics,1,whole egg,1 oz,powdered sugar,1 1/2 oz,brandy,hot milk,,,,,,nutmeg,"beat egg, sugar, and brandy; pour into mug and fill with hot milk. stir. top with nutmeg.",beer mug,10
grape nehi,6,vodka,1 oz,vodka,1 oz,raspberry-flavored liqueur,1 oz,lemon juice,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
hole-in-one cocktai,6,cocktail classics,1 3/4 oz,scotch,3/4 oz,vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
grapefruit gimlet royale,6,vodka,1 1/2 oz,vodka,1 oz,grapefruit juice,1/4 oz,lime juice,1/4 oz,simple syrup,2 oz,chilled champagne,,,,shake first four ingredients with ice and strain into chilled cocktail glass. top with champagne.,cocktail glass,6
hair raiser,6,cocktail classics,1 1/2 oz,100-proof vodka,1/2 oz,rock and rye,1 oz,lemon juice,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
godmother,6,vodka,1 1/2 oz,vodka,3/4 oz,amaretto,,,,,,,,,,combine in ice-filled old-fashioned glass.,old-fashioned glass,6
green opal,6,cocktail classics,1/2 oz,gin,1/2 oz,anisette,1 oz,anis,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
green hornet (dry),14,cocktail classics,2 oz,lime vodka,,lemon-lime soda,,,,,,,1 oz,powdered sugar,lime slice,"pour lime vodka over ice cubes in a collins glass. fill with lemon-lime soda, stir, and garnish with a lime slice.",collins glass,14
green fizz,7,cocktail classics,1 oz,powdered sugar,1 oz,egg white,1/2 oz,lemon juice,2 oz,gin,1 oz,green creme de menthe,,,,shake with ice and strain into highball glass over two cubes of ice. fill with carbonated water and stir.,highball glass,7
godchild,6,vodka,1 oz,vodka,1 oz,amaretto,1 oz,heavy cream,,,,,,,,shake well with ice and strain into chilled cocktail glass.,cocktail glass,6
grape vodka froth,6,cocktail classics,1 1/2 oz,vodka,1 oz,grape juice,1 oz,egg white,1 oz,lemon juice,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
grapefruit nog,14,cocktail classics,1 1/2 oz,brandy,1/2 oz,grapefruit juice,1 oz,lemon juice,1 oz,honey,1 oz,whole egg,,,,blend all ingredients with a cup of crushed ice at low speed and pour into collins glass over ice cubes.,collins glass,14
golden slipper,6,cocktail classics,3/4 oz,yellow chartreuse,2 oz,apricot-flavored brandy,,,,,,,,,egg yolk,stir with ice and strain into cocktail glass. top with an unbroken egg yolk.,cocktail glass,6
golden freindship,14,cocktail classics,,amaretto,,sweet vermouth,,light rum,,,,,,,"orange twist, cherry",mix equal parts in a collins glass over ice and fill with ginger ale. garnish with an orange twist and a cherry.,collins glass,14
golden frappe,14,cocktail classics,1 oz,orange juice,2 oz,lemon juice,1 oz,sugar,1 oz,port,,,,,,"stir orange juice, lemon juice, and sugar in collins glass. add crushed ice and port.",collins glass,14
glass tower,14,vodka,1 oz,vodka,1 oz,peach schnapps,1 oz,light rum,1 oz,triple sec,1/2 oz,sambuca,,lime soda,"orange slice, cherry","pour first five ingredients into collins glass. add ice, then fill with lemon-lime soda and stir. garnish with an orange slice and a cherry.",collins glass,14
golden fizz,7,cocktail classics,1/2 oz,lemon juice,1/2 oz,powdered sugar,1 1/2 oz,gin,1 oz,egg yolk,,,,,,shake with ice and strain into highball glass. fill with carbonated water.,highball glass,7
gloom lifter,7,cocktail classics,1 oz,blended whiskey,1/2 oz,brandy,1/2 oz,lemon juice,1 oz,raspberry syrup,1/2 oz,sugar,1/2 oz,egg white,,shake with ice and strain into highball glass with ice cubes.,highball glass,7
georgia peach,14,vodka,1 1/2 oz,vodka,1/2 oz,peach schnapps,1 oz,grenadine,lemonade,,,,,,,stir first three ingredients in collins glass. add ice and stir again. fill with lemonade.,collins glass,14
georgia mule,14,vodka,1 oz,peach,1 1/2 oz,vodka,1/2 oz,lemon juice,2 oz,peach bitters,,ginger beer,,,peach slice,"muddle 1 peach slice in collins glass. add vodka, lemon juice, and bitters, then stir. fill with ice and ginger beer; stir again. garnish with a peach slice.",collins glass,14
gentle ben,14,vodka,1 oz,vodka,1 oz,gin,1 oz,blanco tequila,orange juice,,,,,,"orange slice, cherry",shake first three ingredients with ice and pour into ice-filled collins glass. fill with orange juice and stir. garnish with an orange slice and a cherry.,collins glass,14
east india cocktail no. 1,6,brandy,1 1/2 oz,brandy,1/2 oz,jamaica rum,1/2 oz,triple sec,1/2 oz,pineapple juice,1 oz,angostura bitters,,,"lemon twist, cherry",shake with ice and strain into chilled cocktail glass. garnish with a lemon twist and a cherry.,cocktail glass,6
general harrison's eggnog,14,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,,red wine,,,,,,,nutmeg,shake with ice and strain into collins glass. fill glass with red wine and stir. top with nutmeg.,collins glass,14
gables collins,14,vodka,1 1/2 oz,vodka,1 oz,creme de noyaux,1/2 oz,lemon juice,1/2 oz,pineapple juice,,soda water,,,"lemon slice, pineapple slice",shake first four ingredients with ice and strain into ice-filled collins glass. fill with soda water. garnish with a lemon slice and a pineapple slice.,collins glass,14
frozen brandy and rum,6,cocktail classics,1 1/2 oz,brandy,1 oz,light rum,1 oz,lemon juice,1 oz,egg yolk,1 oz,powdered sugar,,,,combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. pour into old-fashioned glass.,old-fashioned glass,6
frozen apple,6,cocktail classics,1 1/2 oz,applejack,1 oz,lime juice,1 oz,sugar,1/2 oz,egg white,,,,,,combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. pour into old-fashioned glass.,old-fashioned glass,6
frisky witch,6,vodka,1 oz,vodka,1 oz,sambuca,,,,,,,,,licorice,stir in old-fashioned glass. add ice and stir again. garnish with licorice.,old-fashioned glass,6
froth blower cocktail,6,cocktail classics,1 oz,egg white,2 oz,gin,1 oz,grenadine,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
french martini,6,vodka,1 1/2 oz,vodka,3/4 oz,black raspberry liqueur,3/4 oz,pineapple juice,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
flatiron martini,6,vodka,1 oz,splash triple sec,1 1/2 oz,orange-flavored vodka,1 1/2 oz,lillet blanc,,,,,,,orange slice,swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. stir vodka and lillet with ice and strain into glass. garnish with an orange slice.,cocktail glass,6
favourite cocktail,6,cocktail classics,3/4 oz,apricot-flavored brandy,3/4 oz,dry vermouth,3/4 oz,lemon juice,1/4 oz,gin,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
electric jam,14,vodka,1 1/4 oz,vodka,1/2 oz,blue curacao,1 oz,simple syrup,1 oz,lemon juice,,lime soda,,,,pour first four ingredients into ice-filled collins glass. fill with lemon-lime soda and stir.,collins glass,14
fairy belle cocktail,6,cocktail classics,1 oz,egg white,1 oz,grenadine,3/4 oz,apricot-flavored brandy,1 1/2 oz,gin,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
duke cocktail,6,cocktail classics,1/2 oz,triple sec,1 oz,orange juice,2 oz,lemon juice,1/2 oz,maraschino,1 oz,whole egg,,chilled champagne,,"add first five ingredients, shake with ice. and strain into champagne flute. fill with chilled champagne and stir.",champagne flute,6
dreamy dorini smoking martini,6,vodka,2 oz,vodka,1/2 oz,scotch,4 oz,pastis,,,,,,,lemon twist,stir with ice and strain into a chilled cocktail glass. garnish with a lemon twist.,cocktail glass,6
dubonnet highball,7,cocktail classics,2 oz,dubonnet,,ginger ale,,carbonated water,,,,,,,lemon twist,"put dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. garnish with a lemon twist, if desired, and stir.",highball glass,7
dubonnet fizz,7,cocktail classics,1/2 oz,orange juice,1/4 oz,lemon juice,1 oz,cherry-flavored brandy,2 oz,dubonnet,,,,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7
dubonnet cocktail,6,cocktail classics,1 1/2 oz,dubonnet,3/4 oz,gin,1 oz,orange bitters (if desired),,,,,,,lemon twist,stir with ice and strain into cocktail glass. garnish with a lemon twist,cocktail glass,6
doctor cook,12,cocktail classics,3/4 oz,gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,,,,,,shake with ice and strain into wine glass.,red-wine glass,12
desert sunrise,14,vodka,1 1/4 oz,vodka,1 1/2 oz,orange juice,1 1/2 oz,pineapple juice,1 oz,grenadine,,,,,,pour first three ingredients over crushed ice in collins glass. do not stir. top with grenadine.,collins glass,14
dillatini,6,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,,,,,,,,,dilly bean,stir or shake with ice and strain into cocktail glass. garnish with a dilly bean.,cocktail glass,6
devil's cocktail,6,cocktail classics,1/2 oz,lemon juice,1 1/2 oz,port,1 1/2 oz,dry vermouth,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
derby fizz,7,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,1,whole egg,2 oz,scotch,1 oz,triple sec,,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water and stir.,highball glass,7
cubeltini,6,vodka,3 oz,cucumber slices,5,mint leaves,1 1/2 oz,simple syrup,2 oz,vodka,1 oz,lime juice,,,miny,"muddle the cucumber, mint leaves, and syrup. add vodka and lime juice. shake and strain into chilled cocktail glass. garnish with mint.",cocktail glass,6
crocodile cooler,14,vodka,1 1/2 oz,citrus-flavored vodka,1 oz,melon liqueur,3/4 oz,triple sec,3/4 oz,simple syrup,1 oz,lemon juice,,lime soda,"pineapple slice, cherry, lime slice","stir first five ingredients in hurricane glass. add ice, fill with lemonlime soda, and stir again. garnish with a pineapple slice and a cherry or a lime slice. serve with a straw.",hurricane glass,14
cosmopolitan,6,vodka,1 1/2 oz,vodka,1/2 oz,lime juice,1/2 oz,triple sec,1/2 oz,cranberry juice,,,,,lime slice,shake well with ice and strain into chilled cocktail glass. garnish with a lime slice.,cocktail glass,6
dream cocktail,6,brandy,1 1/2 oz,brandy,3/4 oz,triple sec,1 oz,anisette,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
jean lafitte cocktail,6,cocktail classics,1 oz,gin,1/2 oz,triple sec,1/2 oz,anis,1 oz,powdered sugar,1 oz,egg yolk,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
japanese fizz,7,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,1 1/2 oz,blended whiskey,1 oz,port,1 oz,egg white,,,pineapple slice,shake with ice and strain into highball glass over two cubes of ice. fill with carbonated water and stir. garnish with a pineapple slice.,highball glass,7
citronella cooler,14,vodka,1 oz,citrus-flavored vodka,1 oz,lime juice,2 oz,lemonade,1 oz,cranberry juice,,,,,lime slice,stir in collins glass. add ice and stir again. squeeze and add lime.,collins glass,14
north pole cocktail,6,cocktail classics,1 oz,egg white,1/2 oz,lemon juice,1/2 oz,maraschino,1 oz,gin,,,,,whipped cream,shake with ice and strain into cocktail glass. top with whipped cream.,cocktail glass,6
the cinquecento,6,vodka,1 1/2 oz,bison grass vodka (zubrowka),1/2 oz,benedictine,1/2 oz,campari,3/4 oz,grapefruit juice,1 oz,angostura bitters,,,grapefruit twist,shake with ice. strain through wire sieve into chilled cocktail glass. garnish with a grapefruit twist.,cocktail glass,6
new orleans gin fizz,7,cocktail classics,1/2 oz,lemon juice,1/2 oz,lime juice,1 oz,powdered sugar,1 oz,egg white,2 oz,gin,1 oz,light cream,,shake with ice and strain into highball glass with two ice cubes. fill with carbonated water and stir.,highball glass,7
napoleon,6,cocktail classics,2 oz,gin,1/2 oz,curacao,1/2 oz,dubonnet,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
zombie,14,rum - daiquiris,1 oz,light rum,1 oz,151-proof rum,1 oz,light rum,1 oz,"each lime juice, lemon juice, pineapple juie, and passion fruit syrup",2 oz,demerara syrup,1 oz,tiki (such as bittermen's 'elemakule) or angostura bitters (optional),mint,shake with ice and pour into chilled collins glass. garnish with mint.,collins glass,14
kiss the boys goodbye,6,cocktail classics,3/4 oz,sloe gin,3/4 oz,brandy,1/2 oz,egg white,1 oz,lemon juice,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
x.y.z. cocktail,6,rum - daiquiris,1 oz,light rum,1/2 oz,triple sec,1/2 oz,lemon juice,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
k.g.b. cocktail,6,cocktail classics,1/2 oz,kummel,1 1/2 oz,gin,1/4 oz,apricot-flavored brandy,1/4 oz,lemon juice,,,,,lemon twist,shake with ice and strain into cocktail glass. garnish with a lemon twist,cocktail glass,6
eye-opener,5,cocktail classics,1 oz,egg yolk,1/2 oz,powdered sugar,1 oz,anis,1 oz,triple sec,1 oz,white creme de cacao,2 oz,light rum,,shake with ice and strain into sour glass.,sour glass,5
wiki waki woo,14,rum - daiquiris,1/2 oz,light rum,1/2 oz,151-proof rum,1/2 oz,"each vodka, tequila blanco, triple sec",1 oz,amaretto,1 oz,"each orange juice, pineapple juice, cranberry juice",,,"orange slice, cherry","stir all ingredients with ice. pour, with ice, into hurricane or parfait glass. garnish with an orange slice and a cherry.",hurricane glass,14
elk's own cocktail,6,cocktail classics,1 oz,egg white,1 1/2 oz,blended whiskey,3/4 oz,port,1/4 oz,lemon juice,1 oz,powdered sugar,,,pineapple slice,shake with ice and strain into cocktail glass. garnish with a pineapple slice.,cocktail glass,6
eggnog supreme,3,cocktail classics,1 oz,medium eggs,1 oz,sugar,1 1/2 oz,whole milk,1 oz,whipped cream,1 750-ml,cognac,,,nutmeg,"separate eggs; beat yolks in large serving bowl, adding sugar while beating. stir in milk and cream. slowly add cognac and refrigerate for 1 hour. before serving, whip egg whites stiff. mix into eggnog, dust with nutmeg.",punch cup,3
egg sour,6,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1/2 oz,lemon juice,2 oz,brandy,1/4 oz,triple sec,,,,shake with ice and strain into old-fashioned glass.,old-fashioned glass,6
white lion cocktail,6,cocktail classics,1 1/2 oz,light rum,1 oz,lemon juice,1/2 oz,simple syrup,1 oz,grenadine,2 oz,angostura bitters,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
white lily cocktail,6,rum - daiquiris,3/4 oz,light rum,3/4 oz,triple sec,3/4 oz,gin,1 oz,anisette,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
ice cream flip,5,rum - daiquiris,1 oz,whole egg,1 oz,maraschino,1 oz,triple sec,1 small vanilla ice cream,,,,,,nutmeg,shake with ice and strain into sour glass. top with nutmeg.,sour glass,5
outrigger,6,cocktail classics,1 oz,peach-flavored brandy,1 oz,lime vodka,1 oz,pineapple juice,,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
opera cocktail,6,cocktail classics,1 oz,maraschino,1/2 oz,dubonnet,1 1/2 oz,gin,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
virginia dare,6,rum - daiquiris,2 oz,ripe pear,2 oz,dark rum,1/2 oz,benedictine,2 oz,angostura bitters,,,,,pear slice,muddle 1 pear slice in mixing glass. add remaining ingredients. shake with ice and strain through a fine wire sieve into chilled cocktail glass. garnish with a pear slice.,cocktail glass,6
opening cocktail,6,cocktail classics,1/2 oz,grenadine,1/2 oz,sweet vermouth,1 1/2 oz,blended whiskey,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
queen bee,6,cocktail classics,1 1/2 oz,lime vodka,1 oz,coffee-flavored brandy,1/2 oz,cream sherry,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
van vleet,6,rum - daiquiris,3 oz,light rum,1 oz,maple syrup,1 oz,lemon juice,,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6
zaza cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,dubonnet,,,,,,,,,orange twist,stir with ice and strain into cocktail glass. garnish with an orange twist,cocktail glass,6
the vacation cocktail,6,rum - daiquiris,1 oz,peeled and chopped ginger,3/4 oz,lime juice,1/2 oz,"each simple syrup, light rum, dark rum",1 oz,mango juice,1/2 oz,"each cranberry juice, orange juice, spiced rum",,,mango slice,"muddle ginger, lime juice, and syrup in mixing glass. add all but spiced rum. shake with ice. strain into chilled cocktail glass and top with spiced rum. garnish with a mango slice.",cocktail glass,6
dolores,6,brandy,1 oz,"brandy, preferably spanish",1 oz,cherry liqueur,1 oz,white or dark creme de cacao,1 oz,egg white,,,,,nutmeg,shake without ice. shake with ice and strain into a chilled champagne flute. top with nutmeg.,champagne flute,6
vesuvio,6,cocktail classics,1 oz,light rum,1/2 oz,lemon juice,1 oz,powdered sugar,1/2 oz,egg white,1/2 oz,sweet vermouth,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
urban anxiety,6,rum,1 oz,cachaca,1 oz,sweet vermouth,3/4 oz,cynar,2 oz,angostura bitters,,,,,flamed grapefruit twist,stir with ice and strain into chilled cocktail glass. garnish with a flamed grapefruit twist.,cocktail glass,6
virgin,6,cocktail classics,1 oz,gin,1/2 oz,white creme de menthe,1 oz,forbidden fruit,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
tropica cocktail,14,rum - daiquiris,2 oz,light rum,3 oz,pineapple juice,1 oz,grapefruit juice,1 oz,grenadine,,,,,pineapple slice,mix ingredients in ice-filled collins glass. garnish with a pineapple slice.,collins glass,14
vermouth cassis,7,cocktail classics,3/4 oz,creme de cassis,1 1/2 oz,dry vermouth,,,,,,,,,,stir in highball glass with ice cubes and fill with carbonated water. stir again and serve.,highball glass,7
verboten,6,cocktail classics,1 1/2 oz,gin,1 oz,forbidden fruit,1 oz,orange juice,1 oz,lemon juice,,,,,cherry,shake with ice and strain into cocktail glass. add brandied cherry.,cocktail glass,6
velvet hammer no. 2,6,cocktail classics,1 1/2 oz,strega,1 oz,white creme de cacao,1 oz,light cream,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
velvet hammer no. 1,6,cocktail classics,1 1/2 oz,vodka,1 oz,creme de cacao,1 oz,light cream,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
ulanda cocktail,6,cocktail classics,1 1/2 oz,gin,3/4 oz,triple sec,1/4 oz,anis,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
torridora cocktail,6,rum - daiquiris,1 1/2 oz,light rum,1/2 oz,coffee-flavored brandy,1 1/2 oz,half-and-half,1 oz,151-proof rum,,,,,,shake first three ingredients with ice and strain into chilled cocktail glass. top with 151-proof rum.,cocktail glass,6
boston sour,5,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,2 oz,blended whiskey,1 oz,egg white,,,,,"lemon slice, cherry",shake with cracked ice and strain into sour glass. garnish with a lemon slice and a cherry.,sour glass,5
three miller cocktail,6,rum - daiquiris,3 oz,cherry tomatoes,2 oz,dark rum,1 oz,lime juice,1 oz,simple syrup,1 oz,angostura bitters,,,,muddle tomatoes in mixing glass. add remaining ingredients. shake with ice and strain into chilled cocktail glass.,cocktail glass,6
bird-of-paradise fizz,7,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,1 oz,egg white,1 oz,grenadine,2 oz,gin,,,,shake with ice and strain into highball glass over two ice cubes. fill with carbonated water.,highball glass,7
biffy cocktail,6,cocktail classics,1/2 oz,lemon juice,1 oz,swedish punch,1 1/2 oz,gin,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
between-the-sheets cocktail,6,cocktail classics,1/4 oz,lemon juice,1/2 oz,brandy,1/2 oz,triple sec,1/2 oz,light rum,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
third-rail cocktail,6,rum - daiquiris,3/4 oz,light rum,3/4 oz,apple brandy,3/4 oz,brandy,1/4 oz,anisette,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
bentley,6,cocktail classics,1 1/2 oz,apple brandy,1 oz,dubonnet,,,,,,,,,lemon twist,stir with cracked ice and strain into cocktail glass. garnish with a lemon twist.,cocktail glass,6
tahiti club,6,rum - daiquiris,2 oz,light rum,1/2 oz,lemon juice,1/2 oz,lime juice,1/2 oz,pineapple juice,1/4 oz,maraschino liqueur,,,lemon slice,shake with ice and strain into ice-filled old-fashioned glass. garnish with a lemon slice.,old-fashioned glass,6
barton special,6,cocktail classics,1/2 oz,applejack,1/4 oz,scotch,1/4 oz,gin,,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
barnaby's buffalo blizzard,14,cocktail classics,1 oz,white creme de cacao,3/4 oz,vodka,1 oz,galliano,vanilla ice cream,,1 oz,grenadine,,whipped cream and 3/4 oz,,shake or blend. serve in a collins glass.,collins glass,14
susie taylor,14,rum - daiquiris,2 oz,light rum,1/2 oz,lime juice,,ginger ale,,,,,,,,pour rum and lime juice into ice-filled collins glass. fill with ginger ale and stir.,collins glass,14
baltimore bracer,6,cocktail classics,1 oz,anisette,1 oz,brandy,1 oz,egg white,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
bachelor's bait cocktail,6,cocktail classics,1 1/2 oz,gin,1 oz,egg white,1 oz,orange bitters,1/2 oz,grenadine,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
bushranger,6,cocktail classics,1 1/2 oz,light rum,1 oz,dubonnet,1 oz,bitters,,,,,,,,stir with cracked ice and strain into cocktail glass.,cocktail glass,6
sunset at gowanus,6,rum - daiquiris,2 oz,dark rum,3/4 oz,lime juice,1/2 oz,maple syrup,1/4 oz,brandy,1/4 oz,yellow chartreuse,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
bulldog highballl,7,cocktail classics,1/2 oz,orange juice,2 oz,gin,,,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7
bucks fizz (mimosa),14,cocktail classics,2 oz,orange juice,,chilled champagne,,,,,,,,,,"pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with chilled champagne, and stir very gently.",collins glass,14
buckjones,7,cocktail classics,1 1/2 oz,light rum,1 oz,sherry,1/2 oz,lime juice,,,,,,,,pour ingredients into highball glass over ice cubes and stir. fill with ginger ale.,highball glass,7
stormy colada,7,rum - daiquiris,2 oz,dark rum,2 oz,pineapple juice,,ginger beer,,,,,,,"pineapple slice, mint, candied ginger",add rum and pineapple juice to ice-filled highball glass. fill with ginger beer and stir. garnish with a skewer.,highball glass,7
bronx silver cocktail,5,cocktail classics,1/2 oz,orange juice,1 oz,egg white,1/2 oz,dry vermouth,1 oz,gin,,,,,,shake with ice and strain into sour glass.,sour glass,5
bronx golden cocktail,5,cocktail classics,1 oz,gin,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1/4 oz,orange,,,,,egg yolk,shake with ice and strain into sour glass.,sour glass,5
stone wall,6,rum - daiquiris,3 slices,thin peeled ginger,3/4 oz,demerara syrup,1 1/2 oz,apple cider,1 1/2 oz,light rum,,jamaican ginger beer,,,"apple slice, lime slice",muddle ginger and syrup in mixing glass. add cider and rum and shake with ice. strain into ice-filled old-fashioned glass and fill with ginger beer. garnish with an apple slice and a lime slice.,old-fashioned glass,6
depth bomb,6,brandy,1 oz,apple brandy,1 oz,brandy,1 oz,lemon juice,1 oz,grenadine,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,old-fashioned glass,6
stone cocktail,6,rum - daiquiris,1 oz,dry sherry,1/2 oz,light rum,1/2 oz,sweet vermouth,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
almeria,6,cocktail classics,1 1/2 oz,rum,1 oz,coffee-flavored liqueur,1 oz,egg white,,,,,,,,shake all ingredients with cracked ice and strain into cocktail glass.,cocktail glass,6
aunt jemima,1,cocktail classics,1/2 oz,brandy,1/2 oz,white creme de cacao,1/2 oz,benedictine,,,,,,,,"pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",pousse-cafe_ glass,1
spanish town cocktail,6,rum - daiquiris,2 oz,light rum,1/2 oz,triple sec,,,,,,,,,,stir with ice and strain into chilled cocktail glass.,cocktail glass,6
apricot lady,6,cocktail classics,1 1/4 oz,light rum,1 oz,apricot-flavored brandy,1/4 oz,triple sec,1 oz,lime juice,1 oz,egg white,,,orange slice,shake all ingredients with ice and strain into old-fashioned glass over ice cubes. garnish with an orange slice.,old-fashioned glass,6
apricot anise collins,14,cocktail classics,1 1/2 oz,gin,1/2 oz,apricot-flavored brandy,1 1/2 oz,anisette,1 oz,lemon juice,,,,,lemon slice,shake with ice and strain into collins glass over ice. fill with carbonated water and stir lightly. garnish with a lemon slice.,collins glass,14
apple rum rickey,7,cocktail classics,3/4 oz,applejack,3/4 oz,light rum,1/4 oz,lime,,,,,,,lime slice,pour applejack and rum into highball glass over ice cubes. fill with carbonated water. squeeze lime and drop into glass. stir.,highball glass,7
sloppy joe's cocktail no. 1,6,rum - daiquiris,3/4 oz,light rum,3/4 oz,dry vermouth,1/2 oz,triple sec,1 oz,lime juice,1/2 oz,grenadine,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
applejack punch,3,cocktail classics,1 3/4 oz,applejack,4 oz,grenadine,16 oz,orange juice,64 ginger ale,,,,1 oz,whole egg,apple slice,combine first three ingredients in punch bowl with large block of ice. add ginger ale and garnish with an apple slice.,punch cup,3
brandy flip,5,cocktail classics,1,whole egg,1 oz,powdered sugar,1 1/2 oz,brandy,2 oz,light cream (if desired),,,,,nutmeg,shake with ice and strain into sour glass. top with nutmeg.,sour glass,5
sir walter cocktail,6,rum - daiquiris,3/4 oz,light rum,3/4 oz,brandy,1 oz,grenadine,1 oz,triple sec,1 oz,lemon juice,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
saxon cocktail,6,rum - daiquiris,1 3/4 oz,light rum,1/2 oz,lime juice,1/2 oz,grenadine,orange twist,,,,,,orange twist,shake with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
boston bullet,6,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,,,,,,,,,olive,stir or shake with ice and strain into cocktail glass.  garnish with an olive stuff with an almond.,cocktail glass,6
sargasso,6,rum - daiquiris,2 oz,aged rhum agricole,3/4 oz,dry sherry,1/2 oz,aperol,2 oz,angostura bitters,,,,,orange twist,stir with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
santiago cocktail,6,rum - daiquiris,1 1/2 oz,light rum,1 oz,lime juice,1/2 oz,simple syrup,1/2 oz,grenadine,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
black velvet,6,cocktail classics,5 oz,chilled stout,5 oz,chilled champagne,,,,,,,,,,"pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix.",champagne flute,6
saint lucy bracer,6,rum - daiquiris,2 oz,dark rum,1/2 oz,butterscotch schnapps,1/2 oz,sweet vermouth,2 oz,angostura bitters,,,,,edible flowers,stir with ice and strain into chilled cocktail glass. garnish with edible flowers.,cocktail glass,6
